dist_pct,wall_oi,wall_oi_log,oi_concentration,oi_change_ratio,wall_chg_oi,oi_building,strike_pcr,pcr,vol_pcr,max_pain_dist,wall_to_maxpain,wall_iv,iv_vs_atm,depth_ratio,support_depth_log,oi_skew,wall_vol,wall_vol_log,wall_vol_ratio,competing_walls,premium_pct,premium,net_oi_bias,total_oi_log,n_strikes,wall_type,spot,strike,date,held_1d,breach_pct_1d,held_2d,breach_pct_2d,held_3d,breach_pct_3d,held_5d,breach_pct_5d,premium_pnl,premium_pnl_pct
1.639,3847150,15.163,6.306,0.72,2769900,1,0.013,1.082,0.75,0.479,2.117,1.0,0.091,1.859,15.783,1.63,488863,13.1,1.494,6,0.033,5.45,0.157,17.927,21,0,16529.099609375,16800,2021-08-13,1,0.0,1,0.0,1,0.0,1,0.0,2.1,38.46
0.984,5955900,15.6,8.852,-0.0175,-104300,0,2.705,0.974,0.812,0.381,0.604,4.99,0.361,2.586,16.55,1.312,875537,13.683,2.742,3,0.1473,24.4,-0.0457,18.024,21,1,16563.05078125,16400,2021-08-16,1,0.0,1,0.0,1,0.0,1,0.0,16.5,67.6
2.638,4222750,15.256,6.276,0.2407,1016350,1,0.004,0.974,0.812,0.381,3.019,1.0,0.072,1.184,15.425,1.312,358042,12.788,1.121,8,0.0091,1.5,-0.0457,18.024,21,0,16563.05078125,17000,2021-08-16,1,0.0,1,0.0,1,0.0,1,0.0,0.7,46.36
0.69,7412950,15.819,10.242,0.2262,1676550,1,2.709,1.012,0.919,0.69,0.0,4.67,0.372,2.404,16.696,1.557,2659512,14.794,4.973,3,0.0975,16.2,0.7387,18.097,21,1,16614.599609375,16500,2021-08-17,1,0.0,0,0.298,0,0.298,0,0.298,15.8,97.47
0.514,4447250,15.308,6.145,0.2911,1294500,1,0.142,1.012,0.919,0.69,1.204,2.34,0.186,3.057,16.425,1.557,1377496,14.136,2.576,8,0.0488,8.1,0.7387,18.097,21,0,16614.599609375,16700,2021-08-17,1,0.0,1,0.0,1,0.0,1,0.0,7.85,96.79
0.416,4108700,15.229,8.087,-0.8042,-3304250,0,2.929,0.706,0.992,0.114,0.302,1.0,0.211,2.569,16.172,0.759,3449009,15.054,3.52,4,0.0024,0.4,-0.5074,17.744,21,1,16568.849609375,16500,2021-08-18,0,0.299,0,0.299,0,0.299,0,0.299,-128.95,-31451.22
0.792,3582800,15.092,7.052,-0.2413,-864450,0,0.119,0.706,0.992,0.114,0.905,1.0,0.211,3.338,16.297,0.759,4431574,15.304,4.523,7,0.0015,0.25,-0.5074,17.744,21,0,16568.849609375,16700,2021-08-18,1,0.0,1,0.0,1,0.0,1,0.0,-16.6,-6384.62
2.739,4372000,15.291,7.223,0.0693,303000,1,4.256,0.832,0.917,0.003,2.735,1.67,0.137,1.239,15.505,0.837,444842,13.005,1.229,6,0.0851,14.0,-0.7152,17.919,21,1,16450.5,16000,2021-08-20,1,0.0,1,0.0,1,0.0,1,0.0,9.5,67.81
0.909,4405000,15.298,7.277,0.3114,1371550,1,0.175,0.832,0.917,0.003,0.912,4.31,0.354,2.592,16.251,0.837,1087600,13.899,3.004,6,0.2204,36.25,-0.7152,17.919,21,0,16450.5,16600,2021-08-20,1,0.0,0,0.15,0,0.211,0,0.639,2.4,6.62
3.009,4429650,15.304,6.224,0.013,57650,1,3.731,0.744,0.901,-0.022,3.031,1.0,0.074,1.12,15.417,0.633,361068,12.797,0.868,6,0.0273,4.5,-0.0838,18.081,21,1,16496.44921875,16000,2021-08-23,1,0.0,1,0.0,1,0.0,1,0.0,,
